,Time,W10s_1s,Wds_1s,T2s_1s,Rh2_1s,SLP_1s
53,7/18/2020 20:30,12.174164,10.014216,289.58676,56.63839,1009.739
54,7/18/2020 21:00,11.970427,11.155136,288.36572,64.00612,1010.1627
55,7/18/2020 21:30,11.427675,9.726886,287.1438,69.71684,1010.3501
56,7/18/2020 22:00,11.065885,10.851125,286.543,69.762924,1010.5619
57,7/18/2020 22:30,10.061908,9.415003,286.84558,65.12514,1010.8372
58,7/18/2020 23:00,9.067083,5.5195813,287.0239,62.17812,1010.999
59,7/18/2020 23:30,8.5503,4.4693956,287.17188,59.793793,1011.4058
60,7/19/2020 0:00,8.086009,7.3758974,287.2155,58.12212,1011.73987
61,7/19/2020 0:30,7.916546,9.435515,287.0201,58.10258,1012.11755
62,7/19/2020 1:00,8.209835,13.561979,286.8564,58.643894,1012.4122
63,7/19/2020 1:30,7.9581566,10.023617,286.79318,58.94938,1012.6179
64,7/19/2020 2:00,7.5211067,8.324861,286.71692,58.66011,1012.94464
65,7/19/2020 2:30,7.4210253,8.804097,286.59866,58.676147,1013.2066
66,7/19/2020 3:00,6.3644,6.8392987,286.4183,58.726227,1013.0414
67,7/19/2020 3:30,5.451032,1.3272119,286.08313,58.73637,1012.87854
68,7/19/2020 4:00,5.2709475,359.36548,285.86578,58.947227,1012.742
69,7/19/2020 4:30,4.8961916,2.2616963,285.6339,58.93298,1012.76447
70,7/19/2020 5:00,4.818867,8.191042,285.51477,58.389942,1012.7916
71,7/19/2020 5:30,4.797593,8.749588,285.27832,58.89935,1012.89307
72,7/19/2020 6:00,4.7794952,7.6161256,285.10995,57.767574,1012.9687
73,7/19/2020 6:30,5.1629114,3.2271175,285.10754,56.432922,1013.08344
74,7/19/2020 7:00,4.8011594,2.984248,284.8794,55.38384,1013.1285
75,7/19/2020 7:30,4.529451,7.875359,284.7528,53.026253,1013.3292
76,7/19/2020 8:00,4.255422,11.121571,284.86206,50.131496,1013.3194
77,7/19/2020 8:30,4.544113,9.360356,284.5658,50.28827,1013.5451
78,7/19/2020 9:00,4.5751157,9.0544615,284.61557,48.7636,1013.6239
79,7/19/2020 9:30,4.753193,8.940471,284.4349,49.19036,1013.7742
80,7/19/2020 10:00,5.669754,5.417594,284.79468,49.932312,1013.7211
81,7/19/2020 10:30,5.4758315,3.801677,284.72433,50.14299,1013.77246
82,7/19/2020 11:00,5.616079,3.694339,284.85583,49.418793,1013.73663
83,7/19/2020 11:30,5.9367743,5.3770275,286.33682,46.346622,1013.8078
84,7/19/2020 12:00,6.206824,7.301451,287.54053,45.503624,1013.93384
85,7/19/2020 12:30,6.178058,9.037995,288.48212,47.179028,1014.12616
86,7/19/2020 13:00,6.52823,5.4215865,289.59137,43.881657,1014.0233
87,7/19/2020 13:30,6.355337,7.2619815,290.4311,41.71383,1013.9569
88,7/19/2020 14:00,5.7199306,3.9326513,291.31888,39.09532,1013.72766
89,7/19/2020 14:30,4.297549,0.01954281,292.0704,35.162495,1013.60974
90,7/19/2020 15:00,5.6297297,1.5618806,292.63214,34.47131,1013.1529
91,7/19/2020 15:30,6.127918,4.1810293,293.15097,34.69469,1012.6075
92,7/19/2020 16:00,7.3660636,6.3154173,293.28217,35.36371,1012.18884
93,7/19/2020 16:30,9.825064,10.773649,292.67593,39.996162,1011.734
94,7/19/2020 17:00,10.403658,10.754276,292.60962,41.744873,1011.3816
95,7/19/2020 17:30,11.337475,8.840343,292.03305,48.55439,1011.2351
96,7/19/2020 18:00,11.4171915,6.6266074,291.52396,51.799038,1011.0337
97,7/19/2020 18:30,10.0914955,7.2401776,291.759,50.539436,1010.69824
98,7/19/2020 19:00,11.382148,4.5298386,291.07318,54.930027,1010.62036
99,7/19/2020 19:30,11.874512,5.057655,290.72275,56.67617,1010.55194
100,7/19/2020 20:00,11.745159,5.963512,290.26913,54.050278,1010.54626
101,7/19/2020 20:30,12.249652,7.975158,289.56873,58.133064,1010.57086
102,7/19/2020 21:00,11.808228,10.536455,288.62366,64.06972,1010.77734
103,7/19/2020 21:30,11.686379,9.309828,287.70865,68.933334,1011.0879
104,7/19/2020 22:00,11.749801,11.002741,286.43893,75.19525,1011.31177
105,7/19/2020 22:30,11.281862,13.07999,286.5296,72.80438,1011.30664
106,7/19/2020 23:00,10.005004,12.768796,286.89496,68.649376,1011.4368
107,7/19/2020 23:30,9.851126,9.811253,286.9135,67.25634,1011.44495
108,7/20/2020 0:00,9.833304,10.646191,286.73294,68.2098,1011.50287
109,7/20/2020 0:30,10.177353,10.910131,286.57477,69.37191,1011.668
110,7/20/2020 1:00,9.941228,11.395963,286.38455,70.51074,1011.9166
111,7/20/2020 1:30,8.897391,8.9892845,286.39716,69.91239,1012.1552
112,7/20/2020 2:00,7.465331,3.8682363,286.33682,68.65768,1012.2786
113,7/20/2020 2:30,7.05225,5.0608196,286.51297,65.49151,1012.38086
114,7/20/2020 3:00,5.507293,3.0653577,286.43033,62.44782,1012.2665
115,7/20/2020 3:30,4.6753983,2.8087287,286.16034,60.29747,1012.3096
116,7/20/2020 4:00,4.07234,4.5277095,286.14645,57.47622,1012.4094
117,7/20/2020 4:30,3.3360598,10.932222,286.6029,54.362465,1012.4589
118,7/20/2020 5:00,1.0069175,112.84791,286.99167,53.50015,1012.6349
119,7/20/2020 5:30,1.0776463,154.5267,286.6232,55.66061,1012.6651
120,7/20/2020 6:00,0.655543,165.6245,286.0901,57.577335,1012.8223
121,7/20/2020 6:30,0.4377658,232.1089,285.6061,58.477356,1012.9382
122,7/20/2020 7:00,0.47246435,70.18272,285.80624,55.28969,1013.0447
123,7/20/2020 7:30,0.70093495,160.51363,285.72525,55.093105,1013.0467
124,7/20/2020 8:00,0.5312873,233.3942,285.47205,53.244423,1013.07227
125,7/20/2020 8:30,0.83645654,234.60754,285.45236,52.284687,1013.10474
126,7/20/2020 9:00,1.0785391,227.5107,285.4528,50.6298,1013.4563
127,7/20/2020 9:30,0.5760243,159.58324,285.40097,48.16152,1013.56104
128,7/20/2020 10:00,2.5882785,36.519623,285.93692,43.23701,1013.73083
129,7/20/2020 10:30,4.6285043,18.967365,285.07233,44.186897,1013.7144
130,7/20/2020 11:00,4.844752,22.38492,284.73877,44.433994,1013.76996
131,7/20/2020 11:30,5.681864,6.54436,286.25592,43.91786,1014.00885
132,7/20/2020 12:00,6.4814487,4.8695574,287.7993,42.30207,1013.95807
133,7/20/2020 12:30,5.320074,3.3310325,289.1318,41.579536,1014.0041
134,7/20/2020 13:00,4.7333617,5.409254,290.43527,38.676952,1014.01263
135,7/20/2020 13:30,5.137506,358.31516,291.1466,35.267845,1013.75464
136,7/20/2020 14:00,4.9580717,1.0290737,291.70905,36.831818,1013.674
137,7/20/2020 14:30,5.2701325,5.0268116,292.17435,39.739468,1013.54596
138,7/20/2020 15:00,6.5693502,5.4597144,292.34372,41.89725,1013.20966
139,7/20/2020 15:30,7.81711,10.40689,292.1325,46.558285,1012.8411
140,7/20/2020 16:00,6.8136287,7.7661924,292.95905,40.351906,1012.49615
141,7/20/2020 16:30,7.2302895,1.2292584,293.11758,41.517136,1012.08
142,7/20/2020 17:00,8.263674,2.0122128,292.9443,45.105648,1011.6008
143,7/20/2020 17:30,7.6635566,1.4138073,292.99945,45.07525,1011.2796
144,7/20/2020 18:00,7.5114,2.3898277,293.1532,44.462543,1011.024
145,7/20/2020 18:30,8.543688,6.4133344,292.8579,46.469624,1010.85535
146,7/20/2020 19:00,8.953394,8.232724,292.54346,48.73121,1010.7816
147,7/20/2020 19:30,9.0849495,8.022091,292.21402,53.495167,1010.6432
148,7/20/2020 20:00,8.951779,7.3540015,291.78055,57.384388,1010.5519
149,7/20/2020 20:30,9.06762,8.336606,291.19202,56.64097,1010.4681
150,7/20/2020 21:00,8.369998,8.576734,290.58658,58.462044,1010.6612
151,7/20/2020 21:30,8.460715,6.220933,289.47598,61.691437,1010.97394
152,7/20/2020 22:00,9.073249,8.236297,288.30182,64.077034,1011.10376
153,7/20/2020 22:30,8.160685,6.2729173,288.14496,62.863003,1011.2404
154,7/20/2020 23:00,6.9915295,5.0168853,287.94016,61.833138,1011.41364
155,7/20/2020 23:30,7.466448,5.314208,287.8879,60.13304,1011.54114
156,7/21/2020 0:00,6.6536016,4.882156,287.87698,58.00934,1011.6374
